Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior
price_1SqIgxLenlwJrzcOw7OEiD4n,prod_TnuVBs0gW4Oqu1,Journal Pro,,txcd_20030000,,2026-01-16 19:28,27.00,usd,month,1,licensed,,per_unit,,unspecified
price_1SqIgMLenlwJrzcOoUWAw2qf,prod_TnuVg6l2ftv1M8,Basic,,txcd_20030000,,2026-01-16 19:27,7.00,usd,month,1,licensed,,per_unit,,unspecified
